to_be_index,t
0,265.5980271
1,242.7866831
2,267.2009864
3,268.3107275
4,306.2885327
5,255.7336621
6,221.3316893
7,214.919852
8,239.7040691
9,255.8569667
10,259.432799
11,248.3353884
12,289.7657213
13,284.8335388
14,301.2330456
15,296.5474723
16,352.8976572
17,302.7127004
18,272.5030826
19,258.0764488
20,259.432799
21,301.1097411
22,313.3168927
23,303.945746
24,317.6325524
25,287.053021
26,305.7953144
27,322.0715166
28,347.7188656
29,330.0863132
30,291.6152898
31,273.3662145
32,264.4882861
33,310.4808878
34,299.5067818
35,304.8088779
36,327.6202219
37,318.1257707
38,312.7003699
39,339.3341554
40,331.9358816
41,304.6855734
42,280.7644883
43,260.0493218
44,282.9839704
45,317.0160296
46,291.6152898
47,291.1220715
48,276.2022195
49,284.8335388
50,291.8618989
51,281.6276202
52,349.8150432
53,303.4525277
54,266.2145499
55,253.7607891
56,245.1294698
57,295.6843403
58,275.215783
59,263.378545
60,345.7459926
61,317.8791615
62,339.2108508
63,358.6929716
64,397.7805179
65,339.9506782
66,303.6991369
67,278.298397
68,291.7385943
69,323.674476
70,347.4722565
71,319.9753391
72,404.0690506
73,360.0493218
74,375.7090012
75,432.1824908
76,418.1257707
77,383.7237978
78,336.9913687
79,323.5511714
80,345.622688
81,367.8175092
82,367.8175092
83,357.9531443
84,469.7903822
85,443.2799014
86,451.6646116
87,506.6584464
88,490.0123305
89,421.9482121
90,414.0567201
91,470.0369914
92,403.2059186
93,461.2823674
94,382.7373613
95,397.9038224
96,440.4438964
97,423.0579531
98,415.0431566
99,432.9223181
100,472.1331689
101,420.7151665
102,380.7644883
103,361.2823674
104,385.5733662
105,427.9901356
106,395.5610358
107,406.9050555
108,391.2453761
109,384.8335388
110,382.9839704
111,394.5745993
112,443.2799014
113,406.1652281
114,380.1479655
115,351.541307
116,349.0752158
117,402.8360049
118,405.6720099
119,384.4636252
120,463.6251541
121,412.0838471
122,434.7718866
123,405.5487053
124,494.9445129
125,410.1109741
126,384.3403206
127,355.1171393
128,340.8138101
129,408.6313194
130,400.6165228
131,392.97164
132,477.3119605
133,448.3353884
134,442.4167694
135,491.6152898
136,496.054254
137,462.6387176
138,400.6165228
139,367.6942047
140,384.5869297
141,434.8951911
142,444.6362515
143,412.3304562
144,535.5117139
145,501.8495684
146,522.9346486
147,504.4389642
148,614.919852
149,512.5770654
150,438.9642417
151,428.729963
152,442.9099877
153,466.4611591
154,452.1578298
155,459.0628853
156,560.0493218
157,525.7706535
158,551.1713933
159,538.2244143
160,648.0887793
161,578.0517879
162,497.9038224
163,472.0098644
164,475.4623921
165,526.0172626
166,525.4007398
167,493.7114673
