to_be_index,total
2001,27039
2001.083333,26694
2001.166667,28284
2001.25,27921
2001.333333,29978
2001.416667,26660
2001.5,25141
2001.583333,25708
2001.666667,25816
2001.75,26142
2001.833333,26737
2001.916667,27600
2002,27426
2002.083333,26441
2002.166667,28210
2002.25,28883
2002.333333,31726
2002.416667,28829
2002.5,27136
2002.583333,26824
2002.666667,26549
2002.75,27644
2002.833333,27462
2002.916667,28577
2003,28209
2003.083333,26334
2003.166667,27266
2003.25,26863
2003.333333,30335
2003.416667,28593
2003.5,27268
2003.583333,27401
2003.666667,27379
2003.75,28874
2003.833333,28500
2003.916667,29446
2004,30722
2004.083333,30297
2004.166667,31055
2004.25,30335
2004.333333,31752
2004.416667,29984
2004.5,28333
2004.583333,28275
2004.666667,29267
2004.75,29796
2004.833333,30156
2004.916667,31371
2005,35740
2005.083333,34023
2005.166667,36287
2005.25,34981
2005.333333,40126
2005.416667,32851
2005.5,29080
2005.583333,28919
2005.666667,28177
2005.75,29689
2005.833333,29898
2005.916667,30607
2006,33535
2006.083333,31356
2006.166667,34275
2006.25,33735
2006.333333,37019
2006.416667,33018
2006.5,30827
2006.583333,30930
2006.666667,30982
2006.75,32356
2006.833333,32020
2006.916667,34379
2007,36432
2007.083333,33614
2007.166667,35873
2007.25,37629
2007.333333,39036
2007.416667,34934
2007.5,32402
2007.583333,32698
2007.666667,32328
2007.75,34254
2007.833333,34398
2007.916667,35059
2008,36012
2008.083333,34314
2008.166667,36402
2008.25,38059
2008.333333,37912
2008.416667,34005
2008.5,32655
2008.583333,32895
2008.666667,32217
2008.75,34309
2008.833333,32979
2008.916667,34096
2009,35346
2009.083333,34265
2009.166667,36024
2009.25,35243
2009.333333,38928
2009.416667,36234
2009.5,32897
2009.583333,33674
2009.666667,33532
2009.75,34857
2009.833333,34690
2009.916667,35938
2010,36674
2010.083333,35277
2010.166667,37861
2010.25,37055
2010.333333,39821
2010.416667,37094
2010.5,34081
2010.583333,33130
2010.666667,32898
2010.75,34783
2010.833333,35888
2010.916667,36092
2011,38305
2011.083333,36296
2011.166667,39114
2011.25,35956
2011.333333,41542
2011.416667,37889
2011.5,35296
2011.583333,33689
2011.666667,33883
2011.75,35400
2011.833333,35870
2011.916667,36883
2012,38395
2012.083333,37109
2012.166667,37862
2012.25,38474
2012.333333,38920
2012.416667,37325
2012.5,35354
2012.583333,34507
2012.666667,33224
2012.75,35276
2012.833333,35919
2012.916667,37677
2013,39185
2013.083333,36137
2013.166667,38543
2013.25,37782
2013.333333,43064
2013.416667,37249
2013.5,33847
2013.583333,33698
2013.666667,34565
2013.75,35103
2013.833333,36297
2013.916667,37531
2014,39699
2014.083333,37115
2014.166667,39085
2014.25,36747
2014.333333,41404
2014.416667,38909
2014.5,35946
2014.583333,36003
2014.666667,34485
2014.75,36478
2014.833333,36378
2014.916667,38649
